"filename", "language", "Markdown", "Makefile", "C++", "HTML", "Shell Script", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/choose__color__and__name__byType_8h_source.html", "HTML", 0, 0, 0, 96, 0, 0, 0, 0, 5, 3, 104
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/classes.html", "HTML", 0, 0, 0, 101, 0, 0, 0, 0, 5, 3, 109
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/codeGeneration___07refactorToTokens_08_8h.html", "HTML", 0, 0, 0, 125, 0, 0, 0, 0, 5, 5, 135
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/codeGeneration___07refactorToTokens_08_8h_source.html", "HTML", 0, 0, 0, 106, 0, 0, 0, 0, 5, 3, 114
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/colors_8h.html", "HTML", 0, 0, 0, 211, 0, 0, 0, 0, 5, 19, 235
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/colors_8h_source.html", "HTML", 0, 0, 0, 97, 0, 0, 0, 0, 5, 3, 105
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/constants_8h.html", "HTML", 0, 0, 0, 181, 0, 0, 0, 0, 5, 15, 201
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/constants_8h_source.html", "HTML", 0, 0, 0, 100, 0, 0, 0, 0, 5, 3, 108
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/convertAsmToCommands_8cpp.html", "HTML", 0, 0, 0, 620, 0, 0, 0, 0, 5, 26, 651
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/convertAsmToCommands_8h.html", "HTML", 0, 0, 0, 227, 0, 0, 0, 0, 5, 9, 241
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/convertAsmToCommands_8h_source.html", "HTML", 0, 0, 0, 116, 0, 0, 0, 0, 5, 3, 124
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/countHash_8cpp.html", "HTML", 0, 0, 0, 160, 0, 0, 0, 0, 5, 7, 172
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/countHash_8h.html", "HTML", 0, 0, 0, 140, 0, 0, 0, 0, 5, 5, 150
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/countHash_8h_source.html", "HTML", 0, 0, 0, 94, 0, 0, 0, 0, 5, 3, 102
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_000001_000005.html", "HTML", 0, 0, 0, 75, 0, 0, 0, 0, 5, 3, 83
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_000002_000006.html", "HTML", 0, 0, 0, 75, 0, 0, 0, 0, 5, 3, 83
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_000002_000012.html", "HTML", 0, 0, 0, 75, 0, 0, 0, 0, 5, 3, 83
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_000003_000007.html", "HTML", 0, 0, 0, 75, 0, 0, 0, 0, 5, 3, 83
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_000004_000008.html", "HTML", 0, 0, 0, 75, 0, 0, 0, 0, 5, 3, 83
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_000006_000012.html", "HTML", 0, 0, 0, 75, 0, 0, 0, 0, 5, 3, 83
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_000010_000012.html", "HTML", 0, 0, 0, 75, 0, 0, 0, 0, 5, 3, 83
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_000011_000008.html", "HTML", 0, 0, 0, 75, 0, 0, 0, 0, 5, 3, 83
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_17f39a1e2353b3b9451a3338f1f8274f.html", "HTML", 0, 0, 0, 99, 0, 0, 0, 0, 5, 3, 107
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_18a8ba2972f4800c371f5ac2c204bd5b.html", "HTML", 0, 0, 0, 110, 0, 0, 0, 0, 5, 3, 118
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_2c8fd431348f8c7e746249dd894de86f.html", "HTML", 0, 0, 0, 103, 0, 0, 0, 0, 5, 3, 111
