Date : 2024-12-17 22:04:07
Directory : /home/matvey/Рабочий стол/C/myProgLanguage
Total : 379 files,  32093 codes, 1305 comments, 2683 blanks, all 36081 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/all_f.js                                        | JavaScript   |          9 |          0 |          1 |         10 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/classes_0.js                                    | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/classes_1.js                                    | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/classes_2.js                                    | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/classes_3.js                                    | JavaScript   |          5 |          0 |          1 |          6 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/classes_4.js                                    | JavaScript   |          6 |          0 |          1 |          7 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/classes_5.js                                    | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/classes_6.js                                    | JavaScript   |          5 |          0 |          1 |          6 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/classes_7.js                                    | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/close.svg                                       | XML          |         18 |          0 |          1 |         19 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/defines_0.js                                    | JavaScript   |          5 |          0 |          1 |          6 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/defines_1.js                                    | JavaScript   |          5 |          0 |          1 |          6 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/defines_2.js                                    | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/defines_3.js                                    | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/defines_4.js                                    | JavaScript   |          9 |          0 |          1 |         10 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/defines_5.js                                    | JavaScript   |          6 |          0 |          1 |          7 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/defines_6.js                                    | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/defines_7.js                                    | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/defines_8.js                                    | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/defines_9.js                                    | JavaScript   |          5 |          0 |          1 |          6 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/defines_a.js                                    | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/enums_0.js                                      | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/enums_1.js                                      | JavaScript   |          5 |          0 |          1 |          6 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/enums_2.js                                      | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/enums_3.js                                      | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/enums_4.js                                      | JavaScript   |          5 |          0 |          1 |          6 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/enums_5.js                                      | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/enumvalues_0.js                                 | JavaScript   |          5 |          0 |          1 |          6 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/enumvalues_1.js                                 | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/enumvalues_2.js                                 | JavaScript   |         24 |          0 |          1 |         25 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/enumvalues_3.js                                 | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/enumvalues_4.js                                 | JavaScript   |          6 |          0 |          1 |          7 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/enumvalues_5.js                                 | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/enumvalues_6.js                                 | JavaScript   |         44 |          0 |          1 |         45 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/enumvalues_7.js                                 | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/enumvalues_8.js                                 | JavaScript   |          6 |          0 |          1 |          7 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/enumvalues_9.js                                 | JavaScript   |          5 |          0 |          1 |          6 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/enumvalues_a.js                                 | JavaScript   |          5 |          0 |          1 |          6 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/files_0.js                                      | JavaScript   |         13 |          0 |          1 |         14 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/files_1.js                                      | JavaScript   |          5 |          0 |          1 |          6 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/files_2.js                                      | JavaScript   |         11 |          0 |          1 |         12 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/files_3.js                                      | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/files_4.js                                      | JavaScript   |          5 |          0 |          1 |          6 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/files_5.js                                      | JavaScript   |          7 |          0 |          1 |          8 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/files_6.js                                      | JavaScript   |         10 |          0 |          1 |         11 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/files_7.js                                      | JavaScript   |         19 |          0 |          1 |         20 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/files_8.js                                      | JavaScript   |          5 |          0 |          1 |          6 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/files_9.js                                      | JavaScript   |          8 |          0 |          1 |          9 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/functions_0.js                                  | JavaScript   |          6 |          0 |          1 |          7 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/functions_1.js                                  | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/functions_2.js                                  | JavaScript   |         13 |          0 |          1 |         14 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/functions_3.js                                  | JavaScript   |          6 |          0 |          1 |          7 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/functions_4.js                                  | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/functions_5.js                                  | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/functions_6.js                                  | JavaScript   |         33 |          0 |          1 |         34 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/functions_7.js                                  | JavaScript   |          6 |          0 |          1 |          7 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/functions_8.js                                  | JavaScript   |          6 |          0 |          1 |          7 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/functions_9.js                                  | JavaScript   |          6 |          0 |          1 |          7 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/functions_a.js                                  | JavaScript   |         12 |          0 |          1 |         13 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/functions_b.js                                  | JavaScript   |          6 |          0 |          1 |          7 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/functions_c.js                                  | JavaScript   |         16 |          0 |          1 |         17 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/functions_d.js                                  | JavaScript   |         14 |          0 |          1 |         15 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/mag.svg                                         | XML          |         24 |          0 |          1 |         25 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/mag_d.svg                                       | XML          |         24 |          0 |          1 |         25 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/mag_sel.svg                                     | XML          |         30 |          1 |          1 |         32 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/mag_seld.svg                                    | XML          |         30 |          1 |          1 |         32 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/pages_0.js                                      | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/pages_1.js                                      | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/pages_2.js                                      | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/pages_3.js                                      | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/pages_4.js                                      | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/pages_5.js                                      | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/pages_6.js                                      | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/pages_7.js                                      | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/search.css                                      | CSS          |        232 |          9 |         51 |        292 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/search.js                                       | JavaScript   |        711 |         60 |         70 |        841 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/searchdata.js                                   | JavaScript   |         39 |          0 |          4 |         43 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/typedefs_0.js                                   | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/variables_0.js                                  | JavaScript   |         20 |          0 |          1 |         21 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/variables_1.js                                  | JavaScript   |          5 |          0 |          1 |          6 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/variables_2.js                                  | JavaScript   |          6 |          0 |          1 |          7 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/variables_3.js                                  | JavaScript   |          5 |          0 |          1 |          6 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/variables_4.js                                  | JavaScript   |          7 |          0 |          1 |          8 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/variables_5.js                                  | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/variables_6.js                                  | JavaScript   |          8 |          0 |          1 |          9 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/variables_7.js                                  | JavaScript   |          8 |          0 |          1 |          9 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/variables_8.js                                  | JavaScript   |          7 |          0 |          1 |          8 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/variables_9.js                                  | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/variables_a.js                                  | JavaScript   |          6 |          0 |          1 |          7 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/variables_b.js                                  | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/source_2main_8cpp.html                                 | HTML         |        153 |          5 |          5 |        163 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/spu_8h.html                                            | HTML         |        140 |          5 |          3 |        148 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/spu_8h_source.html                                     | HTML         |        122 |          5 |          3 |        130 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/stackAssertFunction_8cpp.html                          | HTML         |        198 |          5 |          7 |        210 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/stackAssertFunction_8h.html                            | HTML         |        162 |          5 |          5 |        172 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/stackAssertFunction_8h_source.html                     | HTML         |         97 |          5 |          3 |        105 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/stackConstructor_8h.html                               | HTML         |        231 |          5 |          7 |        243 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/stackConstructor_8h_source.html                        | HTML         |        127 |          5 |          3 |        135 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/stackDump_8cpp.html                                    | HTML         |        151 |          5 |          7 |        163 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/stackDump_8h.html                                      | HTML         |        164 |          5 |          7 |        176 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/stackDump_8h_source.html                               | HTML         |        100 |          5 |          3 |        108 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/stackError_8cpp.html                                   | HTML         |        136 |          5 |          5 |        146 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/stackError_8h.html                                     | HTML         |        141 |          5 |          5 |        151 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/stackError_8h_source.html                              | HTML         |        100 |          5 |          3 |        108 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/stackInitDestroy_8cpp.html                             | HTML         |        294 |          5 |         15 |        314 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/stackInitDestroy_8h.html                               | HTML         |        267 |          5 |         13 |        285 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/stackInitDestroy_8h_source.html                        | HTML         |        106 |          5 |          3 |        114 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/stackPushPop_8cpp.html                                 | HTML         |        215 |          5 |          9 |        229 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/stackPushPop_8h.html                                   | HTML         |        170 |          5 |          7 |        182 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/stackPushPop_8h_source.html                            | HTML         |         98 |          5 |          3 |        106 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/stepByStep_8cpp.html                                   | HTML         |        365 |          5 |         21 |        391 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/stepByStep_8h.html                                     | HTML         |        167 |          5 |          7 |        179 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/stepByStep_8h_source.html                              | HTML         |         96 |          5 |          3 |        104 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/stressTests_8cpp.html                                  | HTML         |        174 |          5 |          7 |        186 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/stressTests_8h.html                                    | HTML         |        118 |          5 |          5 |        128 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/stressTests_8h_source.html                             | HTML         |         90 |          5 |          3 |         98 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/structcommand__t-members.html                          | HTML         |         80 |          5 |          4 |         89 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/structcommand__t.html                                  | HTML         |        142 |          5 |         12 |        159 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/structinfoOfStack-members.html                         | HTML         |         79 |          5 |          4 |         88 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/structinfoOfStack.html                                 | HTML         |        128 |          5 |         10 |        143 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/structlabel__t-members.html                            | HTML         |         78 |          5 |          4 |         87 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/structlabel__t.html                                    | HTML         |        114 |          5 |          8 |        127 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/structlabelsData__t-members.html                       | HTML         |         78 |          5 |          4 |         87 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/structlabelsData__t.html                               | HTML         |        124 |          5 |          8 |        137 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/structnameTable__t-members.html                        | HTML         |         78 |          5 |          4 |         87 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/structnameTable__t.html                                | HTML         |        114 |          5 |          8 |        127 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/structnode__t-members.html                             | HTML         |         80 |          5 |          4 |         89 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/structnode__t.html                                     | HTML         |        155 |          5 |         12 |        172 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/structnumber__t-members.html                           | HTML         |         78 |          5 |          4 |         87 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/structnumber__t.html                                   | HTML         |        114 |          5 |          8 |        127 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/structprogInfo__t-members.html                         | HTML         |         78 |          5 |          4 |         87 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/structprogInfo__t.html                                 | HTML         |        123 |          5 |          7 |        135 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/structspu__t-members.html                              | HTML         |         82 |          5 |          4 |         91 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/structspu__t.html                                      | HTML         |        182 |          5 |         16 |        203 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/structstack__t-members.html                            | HTML         |         79 |          5 |          4 |         88 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/structstack__t.html                                    | HTML         |        128 |          5 |         10 |        143 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/structtortureChamber__t-members.html                   | HTML         |         79 |          5 |          4 |         88 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/structtortureChamber__t.html                           | HTML         |        137 |          5 |          9 |        151 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/tabs.css                                               | CSS          |          1 |          0 |          1 |          2 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/treeFuncs_8cpp.html                                    | HTML         |        272 |          5 |         17 |        294 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/tree_8h.html                                           | HTML         |        376 |          5 |         17 |        398 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/tree_8h_source.html                                    | HTML         |        215 |          5 |          3 |        223 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/uniondata__u-members.html                              | HTML         |         78 |          5 |          4 |         87 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/uniondata__u.html                                      | HTML         |        124 |          5 |          8 |        137 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/workWithFile_8h.html                                   | HTML         |        260 |          5 |         12 |        277 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/workWithFile_8h_source.html                            | HTML         |        104 |          5 |          3 |        112 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/workWithStack_2h__files_2macros_8h.html                | HTML         |        297 |          5 |         15 |        317 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/workWithStack_2h__files_2macros_8h_source.html         | HTML         |        127 |          5 |          3 |        135 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/wrDotFile_8cpp.html                                    | HTML         |        239 |          5 |         12 |        256 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/wrPngFile_8cpp.html                                    | HTML         |        157 |          5 |          6 |        168 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/writeASMfile_8cpp.html                                 | HTML         |        306 |          5 |         13 |        324 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/writeASMfile_8h.html                                   | HTML         |        140 |          5 |          5 |        150 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/writeASMfile_8h_source.html                            | HTML         |         95 |          5 |          3 |        103 |
| /home/matvey/Рабочий стол/C/myProgLanguage/include/errors.h                                                | C++          |         10 |          0 |          2 |         12 |
| /home/matvey/Рабочий стол/C/myProgLanguage/include/predprocessing.h                                        | C++          |          5 |          0 |          3 |          8 |
| /home/matvey/Рабочий стол/C/myProgLanguage/include/writeASMfile.h                                          | C++          |          5 |          0 |          3 |          8 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Assembler/Makefile                                  | Makefile     |         18 |          0 |          8 |         26 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Assembler/cpp_files/convertAsmToCommands.cpp        | C++          |        273 |         17 |        102 |        392 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Assembler/cpp_files/getFileStrings.cpp              | C++          |         35 |          5 |         17 |         57 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Assembler/cpp_files/main.cpp                        | C++          |         63 |          4 |         25 |         92 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Assembler/cpp_files/putDataToFile.cpp               | C++          |         53 |          2 |         22 |         77 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Assembler/h_files/commands.h                        | C++          |         35 |          0 |          9 |         44 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Assembler/h_files/convertAsmToCommands.h            | C++          |         17 |          0 |          5 |         22 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Assembler/h_files/getFileStrings.h                  | C++          |          9 |          0 |          3 |         12 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Assembler/h_files/label.h                           | C++          |         12 |          0 |          4 |         16 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Assembler/h_files/putDataToFile.h                   | C++          |         11 |          0 |          3 |         14 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Assembler/h_files/registers.h                       | C++          |         10 |          0 |          2 |         12 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Processor/Makefile                                  | Makefile     |         38 |          0 |         20 |         58 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Processor/cpp_files/getCommands.cpp                 | C++          |         96 |          1 |         23 |        120 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Processor/cpp_files/getData_of_BinaryFile.cpp       | C++          |         24 |          4 |         11 |         39 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Processor/cpp_files/getNumber.cpp                   | C++          |         21 |          0 |          4 |         25 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Processor/cpp_files/main.cpp                        | C++          |         41 |          4 |         16 |         61 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Processor/cpp_files/runCode.cpp                     | C++          |        197 |         19 |         65 |        281 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Processor/cpp_files/stepByStep.cpp                  | C++          |        248 |          6 |         71 |        325 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Processor/h_files/commands.h                        | C++          |         29 |          0 |          8 |         37 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Processor/h_files/getCommands.h                     | C++          |         11 |          0 |          5 |         16 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Processor/h_files/getData_of_BinaryFile.h           | C++          |          9 |          0 |          3 |         12 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Processor/h_files/getNumber.h                       | C++          |          4 |          0 |          2 |          6 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Processor/h_files/macros.h                          | C++          |          8 |          0 |          6 |         14 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Processor/h_files/registers.h                       | C++          |         11 |          0 |          3 |         14 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Processor/h_files/runCode.h                         | C++          |         11 |          0 |          4 |         15 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Processor/h_files/spu.h                             | C++          |         18 |          0 |          4 |         22 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/Processor/h_files/stepByStep.h                      | C++          |          6 |          0 |          3 |          9 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/go.sh                                               | Shell Script |          1 |          0 |          1 |          2 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/workWithStack/Makefile                              | Makefile     |         27 |          0 |         12 |         39 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/workWithStack/cpp_files/countHash.cpp               | C++          |         18 |          0 |         12 |         30 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/workWithStack/cpp_files/main.cpp                    | C++          |         31 |          1 |         18 |         50 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/workWithStack/cpp_files/stackAssertFunction.cpp     | C++          |         46 |          0 |         18 |         64 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/workWithStack/cpp_files/stackDump.cpp               | C++          |         35 |          1 |         12 |         48 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/workWithStack/cpp_files/stackError.cpp              | C++          |         15 |          0 |          8 |         23 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/workWithStack/cpp_files/stackInitDestroy.cpp        | C++          |         56 |          0 |         24 |         80 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/workWithStack/cpp_files/stackPushPop.cpp            | C++          |         60 |          1 |         29 |         90 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/workWithStack/cpp_files/stressTests.cpp             | C++          |         27 |          1 |         12 |         40 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/workWithStack/h_files/colors.h                      | C++          |         11 |          0 |          3 |         14 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/workWithStack/h_files/countHash.h                   | C++          |          5 |          0 |          3 |          8 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/workWithStack/h_files/errorNames.h                  | C++          |         11 |          0 |          2 |         13 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/workWithStack/h_files/macros.h                      | C++          |         27 |          4 |         13 |         44 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/workWithStack/h_files/stackAssertFunction.h         | C++          |          7 |          0 |          3 |         10 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/workWithStack/h_files/stackConstructor.h            | C++          |         20 |          0 |          7 |         27 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/workWithStack/h_files/stackDump.h                   | C++          |          8 |          0 |          3 |         11 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/workWithStack/h_files/stackError.h                  | C++          |          8 |          0 |          3 |         11 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/workWithStack/h_files/stackInitDestroy.h            | C++          |         12 |          0 |          5 |         17 |
| /home/matvey/Рабочий стол/C/myProgLanguage/myProcessor/workWithStack/h_files/stackPushPop.h                | C++          |          7 |          0 |          3 |         10 |
