Date : 2024-12-17 22:04:07
Directory : /home/matvey/Рабочий стол/C/myProgLanguage
Total : 379 files,  32093 codes, 1305 comments, 2683 blanks, all 36081 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/Processor_2h__files_2registers_8h.html                 | HTML         |        170 |          5 |          7 |        182 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/Processor_2h__files_2registers_8h_source.html          | HTML         |        106 |          5 |          3 |        114 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/README_8md.html                                        | HTML         |         74 |          5 |          3 |         82 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/annotated.html                                         | HTML         |         90 |          5 |          3 |         98 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/choose__color__and__name__byType_8cpp.html             | HTML         |        141 |          5 |          7 |        153 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/choose__color__and__name__byType_8h.html               | HTML         |        148 |          5 |          7 |        160 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/choose__color__and__name__byType_8h_source.html        | HTML         |         96 |          5 |          3 |        104 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/classes.html                                           | HTML         |        101 |          5 |          3 |        109 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/codeGeneration___07refactorToTokens_08_8h.html         | HTML         |        125 |          5 |          5 |        135 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/codeGeneration___07refactorToTokens_08_8h_source.html  | HTML         |        106 |          5 |          3 |        114 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/colors_8h.html                                         | HTML         |        211 |          5 |         19 |        235 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/colors_8h_source.html                                  | HTML         |         97 |          5 |          3 |        105 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/constants_8h.html                                      | HTML         |        181 |          5 |         15 |        201 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/constants_8h_source.html                               | HTML         |        100 |          5 |          3 |        108 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/convertAsmToCommands_8cpp.html                         | HTML         |        620 |          5 |         26 |        651 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/convertAsmToCommands_8h.html                           | HTML         |        227 |          5 |          9 |        241 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/convertAsmToCommands_8h_source.html                    | HTML         |        116 |          5 |          3 |        124 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/countHash_8cpp.html                                    | HTML         |        160 |          5 |          7 |        172 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/countHash_8h.html                                      | HTML         |        140 |          5 |          5 |        150 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/countHash_8h_source.html                               | HTML         |         94 |          5 |          3 |        102 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_000001_000005.html                                 | HTML         |         75 |          5 |          3 |         83 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_000002_000006.html                                 | HTML         |         75 |          5 |          3 |         83 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_000002_000012.html                                 | HTML         |         75 |          5 |          3 |         83 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_000003_000007.html                                 | HTML         |         75 |          5 |          3 |         83 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_000004_000008.html                                 | HTML         |         75 |          5 |          3 |         83 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_000006_000012.html                                 | HTML         |         75 |          5 |          3 |         83 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_000010_000012.html                                 | HTML         |         75 |          5 |          3 |         83 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_000011_000008.html                                 | HTML         |         75 |          5 |          3 |         83 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_17f39a1e2353b3b9451a3338f1f8274f.html              | HTML         |         99 |          5 |          3 |        107 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_18a8ba2972f4800c371f5ac2c204bd5b.html              | HTML         |        110 |          5 |          3 |        118 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_2c8fd431348f8c7e746249dd894de86f.html              | HTML         |        103 |          5 |          3 |        111 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_3ab5adf3688c1279663983f7c9ad4be6.html              | HTML         |        102 |          5 |          3 |        110 |
